编号,岗位名称,岗位要求
,,
292,人力资源总监,"1. 根据公司发展规划，制订人力资源中长期战略规划、年度工作计划与目标，并组织事

实；

2. 结合内部业务运营，分析业务组织模式、人员结构、人员配置及考核激励模式，评估

组织架构有效性，为组织效能优化提供决策建议；

3. 建立人力资源管理体系，流程梳理并起草发布相关制度、包括不限于组织结构设置、

招聘培训、薪酬绩效、激励系统等，并推动落地；

4. 负责公司人才团队管理，建立完善的人才梯队建设体系，人才选育用留管理机制，人

才培养体系搭建，引进和夯实公司人才队伍，激活内部组织活力；

5. 组织和推动公司文化建设，提供有利的人文环境，增强员工凝聚力；

6. 评估用工模式的劳动风险防范机制，预警并规避相关劳动风险；

7. 岗位相关其他事宜。"
,,
293,人力资源总监,"职责描述：
1、参与公司战略分析、规划工作，根据公司发展战略和经营计划，制定人力资源战略规划和年度人力资源计划，明确公司人力资源目标和总体方案，提供人力资源战略、组织建设等方面的建议；
2、负责组织公司人力资源管理相关制度的建立、完善和实施。制定公司人力资源管理模式(包括招聘、培训、薪酬福利、绩效考核、人事档案、核心人才、员工激励等)全面建设；
3、根据公司的整体部署，负责组织公司组织架构调整和岗位管理工作的具体实施和推进；
4、负责公司岗位能力体系建设及人才选拔、培养工作，确保公司发展所需人才及员工职业的发展。
5、负责对集团下属子、分公司人力资管控体系的建立，对各公司人力资源管理工作的开展进行指导并监督执行。
6、负责公司企业文化建设及传播，提高员工对企业文化的认同度。

任职要求：
1、 本科以上学历，人力资源或管理类相关专业，具有10年以上人力资源管理工作经验，参与过大型集团化公司人力资源管理工作的规划、建立、实施和管理工作，对高新技术行业有经验者优先；
2、对现代企业人力资源管理有系统的了解和实践经验积累，精通人力资源管理各个职能模块，能够指导各个职能模块的工作；
3、具有战略性、策略化的思维，能结合公司战略发展及业务开展的需要，建立人力资源战略规划并组织实施，确保企业发展所需的各类人才；
4、具有较强的分析、解决问题的能力和管理能力；具有很强的激励、沟通、协调、亲和力及团队领导能力，具有很强的责任心、事业心和原则性。"
,,
294,人力资源副总监（数字化方向、HRIS负责人）,"职责描述：

•	基于公司数字化转型方向、HR管理理念与实际业务需求，负责集团人力资源信息化的整体战略的制定，并规划设计可行的解决方案；

•	负责HR系统优化项目的管理，能够有效进行项目的计划、资源、进度和评估等管理；

•	熟悉HR COE各个职能的业务内容，负责HR各项业务的流程梳理和优化，提供业务优化方案，并明确相应的需求；

•	管理人力资源信息化团队，与各事业部人力资源部门沟通，推动标准化的实施动作，指导、梳理和协调解决人力资源流程执行中的难点问题；

•	研究组织与人力管理前沿科技趋势，密切关注各行业在HR领域系统化、数字化的实践经验，致力于构建全球人力资源系统与数据平台，为公司人力资源管理与分析提供创新支持。



任职要求：

•	优秀的教育背景，人力资源、计算机、信息管理等相关专业优先；

•	10年人力资源工作经验，其中包括5年以上HR系统开发或实施经验，作为负责人，主责实施过大型集团或互联网企业的人力资源信息化项目，对HR管理体系和理念有较深入的理解，非常熟悉人力资源管理系统或模块；

•	具有较强的沟通能力，团队合作能力，资源协调能力，推动能力，抗压能力，高执行力以及踏实肯干的工作精神。

"
,,
295,人力资源总监,"岗位职责：
1、组织制订公司人力资源发展的中、长期规划，并监督各项计划的实施工作。
2、向公司高层决策者提供有关人力资源战略、组织建设等方面的建议，并致力于提高公司的管理水平。
3、根据企业的战略发展，制定企业人力资源管理制度。
4、对人力资源工作中各项数据进行统计和分析，及时处理公司管理中的重大人力资源问题。
5、进行企业人才库建设及人才储备管理，保证企业所需各类人才的及时到位。
6、制定员工培养计划，确保满足企业发展对人才的需要。
7、监督、检查分管下属员工的各项工作及计划的执行情况。"
,,
296,人力资源总监,"储备人力资源部负责人
地点：苏沪分拨区、新疆区、重庆区、江西区、海南区、南通区、东莞区、冀北区、华南分拨区、南京区、金华区、西北分拨区
工作职责：
1、依据公司人力资源政策、地区业务发展规划，拟定细化本区域的人力资源工作规划与方案；
2、主动识别业务潜在人力资源需求，并快速响应提供全面人力资源解决方案；
3、制定和执行地区人才规划，统筹地区人才选、育、用、评工作的实施，为地区经营搭建健康的人才梯队；
4、进行合理有效的人力资源投入，制定有效的绩效激励牵引制度，管控地区的人力成本，实现人力资本投资回报合理化；
5、对经营管理中的人员保留、劳资异常事件，进行系统性的管控、预防或及时参与解决，创造更稳定的工作环境；
6、积极正向传导公司文化，能够积极主动的掌握员工的思想动态，激发员工的自驱，持续营造积极、健康、阳光的团队氛围；
7、推动新业务/变革项目在地区的落地，营造积极创新变革的氛围。
任职要求
1、本科及以上学历，人力资源管理、心理学、工商管理优先；
2、5-10年人力资源从业经验，3年以上大中型企业全盘人力资源管理经验，具有连锁行业、劳动密集型行业人力资源工作经验优先, 有劳动争议处理、危机事件处理经验更佳；
3、掌握现代人力资源理论知识和实践积累，深刻理解人才管理的方法论，拥有较强的组织管理、逻辑思维、沟通协调、解决问题及学习能力；
4、具备较好的领导能力、系统思考力和沟通影响力，勇于开拓创新，有较好的客户思维、产品思维；
5、身体健康，适应短期出差。"
,,
297,人力总监,"岗位职责：

1.结合公司的人力资源战略，打造针对公司基层劳动力的人力资源组织架构，并输出基层劳动力的服务标准和模式；

2.建立并完善人力资源管理体系，针对物业安保机电维保行业，研究、设计人力资源管理模式（包含招聘、绩效、培训、薪酬及员工发展等体系的全面建设），制定和完善人力资源管理制度；

3.向公司高层决策者提供有关人力资源战略、组织建设等方面的建议，并致力于提高公司的综合管理，对各项基层劳动力的人力指标负责；

4.组织制定公司人力资源发展的各种规划，并监督各项计划的实施；

5.及时处理公司管理过程中的重大人力资源问题。

职位要求：

1.人力资源、企业管理等相关专业。；

2.10年以上劳动密集型企业工作经验，具备人力资源劳动力产品设计和管理经验；

3.1000人以上企业集团总部人力资源总监经历，经历过完整的人力资源管理体系建设（涵盖六大模块），对集团公司整体管理升级有成功案例；

4.系统的管理理念；有强烈的事业企图心和成功欲望。"
,,
298,人力资源总监,"职责描述：

1、组织发展：根据社区整体经营计划，制定社区年度人力编制计划，经事业部、总部审批通过后执行；制定社区人才发展计划，进行人才梯队管理；提出社区组织架构、岗位说明书及岗位说明书、各项人力资源管理制度优化建议，如有必要，根据总部、事业部文件制定社区实施细则。

2、体系文件管理：根据事业部要求组织落实管理文件控制制度，包括各项管理文件的发放、更新与检查，同时安排对各部门管理文件的培训及使用情况进行检查。

3、依据人力工作规划，细化并分解工作，配合、督导社区各部门的招聘、薪酬绩效、培训发展及人事管理工作。

4、负责统筹使用并维护社区人力资源管理平台，依据社区工作人员实际情况，及时更新相关信息。

5、指导社区各部门完成部门人力需求、岗位说明书等，落实总部相关工作。

6、落实社区培训计划，并于各业务模块中组织开展相应专题培训，提升员工业务能力及服务水平。

7、开展员工关怀计划, 开展社区荣誉体系建设，组织多种形式的团队建设工作，组织公司内外部技能竞赛，提升社区组织氛围。

8、管理社区劳动关系方面的法律风险，处理社区用工方面的法律仲裁、诉讼。

9、在公司整体制度框架下，组织制定、完善本部门的相关制度、工作流程和作业指导书并落地实施；组织重要档案资料的填报、分析及归档。

10、制定本部门经营预算，统计分析本部门经营数据，达成经营目标。

11、负责本部门团队管理和日常管理，培训指导部门员工，培养后备人才。



任职要求：

1、本科学历，10年及以上工作经验；曾实际负责招聘、培训、薪酬、绩效、员工关系等至少两个模块管理工作，并熟悉其它模块的管理方法；

2、有大型连锁医疗企业、酒店人力资源管理经验优先。

3、熟悉人力资源管理相关政策法规，熟悉人力资源各模块管理方法；熟练使用电脑和办公软件；具备高效执行力，值得信任，善于培养指导他人，坚忍不拔，敬业奉献，有持续学习能力，有较强的服务意识。

"
,,
299,人力总监,"Responsibilities 
工作职责 
•	In line with the overall development strategy and actual needs of the hospital, promote the formulation and implementation of the hospital's human resource strategic planning, lead the revision to various human resource planning, optimize the hospital's organizational structure, and meet the needs of the hospital's development. 
•	根据医院整体发展战略方向及实际需求，推动医院人力资源战略规划的制定与实施，组织修订各项人力资源规划，优化医院组织架构，使得整体的人力资源配置更好的满足医院发展的需要。 

•	Improve the hospital's human resource management system, optimize the human resource management process, and make an overall arrangement for hospital's human resources in such aspects as recruitment, performance, training, compensation, staff development, etc. 
•	完善医院人力资源管理体系，优化人力资源管理流程，统筹医院人力资源部有关招聘、绩效、培训、薪酬、员工发展等各个环节的工作。 

•	Ensures information system caters to the human resource data requirement, follow the human resource problems occurred within the process of hospital development, analyze the human resource data in a comprehensive way so as to provide rational suggestion for hospital’ s development. 
•	通过信息化系统，确保人力资源数据需求得到满足，及时关注医院发展过程中的人力资源问题，综合分析人力资源数据，为医院发展提供合理化建议。 

•	Analyze human resource indicators, such as turnover, time to fill the vacant position, etc., identify problem areas, put forward suggestions to solve problems and improve the overall management level of the hospital 
•	分析人力资源指标，如人员流失率、空岗填补时间等，确定问题，提出建议，解决问题，提高医院整体综合管理水平。 

•	Ensures timely recruitment and effective retention to minimize turnover and provide talents needed for efficient and effective operation. 
•	确保及时的招聘和有效的人才保留，最大限度地减少流失率，为组织的有效运作提供所需的人才。 

•	In accordance with local, provincial, and national laws and regulations in labor and employee relations. formulate, interpret, and perform the fair and equitable HR policies and practices for the hospital. 
•	为医院制定、解读和实施执行公平合理的人力资源政策。确保遵守当地、省和国家的劳动和员工关系法规。 

•	Create, maintain,develop and spread the hospital culture; improve the employee engagement. 
•	塑造、维护、发展和传播医院文化; 提升员工敬业度。

工作要求
Qualifications 
任职资格 

•	Bachelor's degree in Human Resources, Business, Management,Medicine or a closely related field and 8 years of human resources experience, with at least 5 years of management experience. 
•	人力资源、企业管理、医疗或相关领域的学士学位，8年人力资源经验，至少5年的管理经验。 

•	Working experience in the general hospital with foreign capital is preferred. A Master's degree is preferred. 
•	有外资综合医院从业经验者优先。硕士学位优先。 

•	Good written and verbal communication skills. English can be used as a working language, IELTS, TOEFL, TOEIC certificate preferred. 
•	具备良好的书面和表达能力，良好的沟通能力。英语能够作为工作语言，有雅思、托福、托业的证书者优先。 

•	Knowledge of the HR management mode in modern hospitals, international hospitals and general hospitals and with rich practical experience. 
•	了解现代医院、国际医院、综合医院的人力资源管理模式，拥有丰富的实践经验积累。"
,,
300,人力资源总监,"1、严格按照公司的规章制度和部门的⼯作程序，主持并参与部门的⽇常⼯作。
　　2、积极贯彻执⾏国家的有关法律、法规、政策和上级各项指⽰，并根据公司的要求组织制定相应的劳资政策、⼈事制度和劳动合同等。
　　3、加强公司⼈⼒资源的预测和统筹⼯作，根据各项⽬的经营状况和市场情况，合理调整组织机构、⼈员结构和⼯资福利待遇。组织制定、完善和执⾏员⼯编制、员⼯薪酬、奖⾦分配及福利待遇等⽅案。
　　4、组织制定和协调执⾏⽤⼯政策，确定⽤⼈标准，开展招聘⼯作。
　　5、建⽴和完善部门的⼯作标准、制度和程序，定期对现⾏的政策，制度及《员⼯⼿册》进⾏总结和修改完善，使之更有利于激励员⼯的⼯作积极性。
　　6、组织制定和执⾏公司定期对员⼯⼯作表现进⾏考评的制度，督促、协调各项⽬抓好对员⼯的考察培训、提拔选⽤。
　　7、建⽴员⼯激励机制，组织制定公司的奖惩制度，根据员⼯的⼯作表现，提议确定员⼯的⼈事变动或奖惩，协调各项⽬之间⼈员使⽤、考核、评先及⼈事管理的有关问题。
　　8、组织制定员⼯培训计划，做好预算和审核年度培训⽅案及培训费⽤的开⽀情况，协助部门开展各项⽬内外的各种培训⼯作。并监察各项⽬员⼯的培训效果，不断地提⾼培训效果。"
,,
301,海外人力资源总监,"职位描述：
1、该人资总监棣属于海外事业部；
2、有专业HR经验，对薪酬绩效能在原有的基础上做出优化改革，针对海外事业部提出合适的改革方案；
3、负责建全海外事业部的人力资源管理系统，制定人力资源工作规划；
4、负责海外工作人员进行培训，提升海外事业部人员素质；
5、负责海外事业部人员招聘。

岗位要求：
1、三年以上人力资源岗位工作经验或五年以上招聘培训岗位工作经验；
2、良好的沟通能力及业务理解能力，能深入业务；
3、人际敏感，人际关系的洞察力、对事物的理解力。
4、本科及以上学历，人力资源管理相关专业优先考虑。
待遇：薪资可谈，股权激励 等"
,,
302,人力资源总监,"岗位职责：
1、根据公司发展战略，组织制定区域人力资源工作规划并组织实施；
2、协助总部建立和完善人力资源管理体系，制订并组织实施人力资源管理制度；
3、全面负责所辖区域人力资源部门日常工作及部门员工的管理、指导、培训及评估；
4、定期向高层决策者提供有关人力资源战略、组织建设、行政管理等方面的专项建议，为公司重大决策提供人力资源信息支持；
5、加强公司人力资源的预测和统筹工作，根据各项目的经营状况和市场情况，合理调整组织机构、人员结构和工资福利待遇；
6、规范完善公司行政管理系统，制订并完善公司各项行政制度，提供各项行政后勤支持。

职位要求：
1、本科及以上学历，人力资源等相关专业；
2、10年人力资源从业经验，其中至少3年以上高级经理或以上经验；
3、对人力资源管理模式有系统的了解和实践经验积累，有先进的人力资源理念，能够指导各个职能模块的工作；
4、具备极强的领导及管理能力，善于沟通，具备出色的组织协调能力及分析判断能力；
5、熟悉国家、地区相关方面的法律法规及政策；
6、具备较强的计划性和实施执行的能力。"
,,
303,人力资源总监（储备）,"工作职责：



1、依据公司人力资源政策、地区业务发展规划，拟定细化本区域的人力资源工作规划与方案；

2、主动识别业务潜在人力资源需求，并快速响应提供全面人力资源解决方案；

3、制定和执行地区人才规划，统筹地区人才选、育、用、评工作的实施，为地区经营搭建健康的人才梯队；

4、进行合理有效的人力资源投入，制定有效的绩效激励牵引制度，管控地区的人力成本，实现人力资本投资回报合理化；

5、对经营管理中的人员保留、劳资异常事件，进行系统性的管控、预防或及时参与解决，创造更稳定的工作环境；

6、积极正向传导公司文化，能够积极主动的掌握员工的思想动态，激发员工的自驱，持续营造积极、健康、阳光的团队氛围；

7、推动新业务/变革项目在地区的落地，营造积极创新变革的氛围。



任职要求：

1. 本科及以上学历，人力资源管理、心理学、工商管理等相关专业；

2. 5年以上大中型企业全盘人力资源管理经验，具有连锁行业、劳动密集型行业人力资源工作经验优先；

3. 掌握现代人力资源理论知识和实践积累，深刻理解人才管理的方法论，拥有较强的组织管理、逻辑思维、沟通协调、解决问题及学习能力；

4. 具备较好的领导能力、系统思考力和沟通影响力，勇于开拓创新，有较好的客户思维、产品思维；

5. 身体健康，适应短期出差，接受全国地点调配；

6. 需服从公司调配（入职后纳入人资部负责人后备池，由集团统筹培养）





【温馨提示】顺丰公司及其下属分公司实施招聘、培训不收取任何费用、敬请各位求职者知晓并转告，以免受骗。"
,,
304,人力总监后备,"职责描述：

1、根据公司发展战略，协助HR接口人制定人力资源规划并落地实施；

2、协助HR接口人快速组建团队，聚焦公司的引领目标，驱动小微实现对赌目标，保证每个小微/创客人单合一；

3、搭建公司的组织并升级，使平台和小微同一目标并联，共创共享，演进孵化升级，开放吸引一流人才，对人员升级和按单聚散；

4、搭建共创共享的创业人单酬机制，驱动小微引爆，完善人力资源薪酬、绩效考核工作的落实及体系，激励机制的设计、实施与优化；

5、公司机制落地、人单合一及人工成本的统筹管理；

6、通过文化价值观驱动和融合，链群合约落地，驱动链群/小微加速引爆发展。

任职要求：

1、本科以上学历，人力资源类、管理类等相关专业；

2、3年以上人力资源管理经历，或集团内部人力工作经历，能力较强学历可放宽

3、较强的计划与执行能力、沟通与表达能力、组织协调能力；

4、能够适用异地外派"
,,
305,人力资源总监,"岗位职责：
1.根据公司发展战略，组织制定短、中、长期人力资源工作规划，制定一整套人力资源管理制度并组织实施；
2.建立和完善人力资源管理体系，制订并组织实施人力资源管理制度（包含招聘、培训、绩效、薪酬及员工发展等；
3.全面负责公司人力资源部门日常工作及部门员工的管理、指导、培训及评估；
4.定期向高层决策者提供有关人力资源战略、组织建设、行政管理等方面的专项建议，为公司重大决策提供人力资源信息支持；
5.加强公司人力资源的预测和统筹工作，根据各项目的经营状况和市场情况，合理调整组织机构、人员结构和工资福利待遇；
6.负责公司核心团队和业务团队核心骨干的打造，在公司内部推动核心人才梯队培养计划；
7.负责部门团队管理，擅长各类中高级人才的甄别和选拔，完善公司人才储备和梯队建设；
8.及时处理公司人事行政管理中的重大问题，负责公司的企业文化建设；
9.规范完善公司行政管理系统，制订并完善公司各项行政制度，提供各项行政后勤支持。
职位要求：
1.人力资源、管理或相关专业背景，本科及以上学历；
2.八年以上相关工作经验；
3.对人力资源管理模式有系统的了解和实践经验积累，有先进的人力资源理念，能够指导各个职能模块的工作；有集团化管理工作经验优先考虑；
4.具备极强的领导及管理能力，善于沟通，具备出色的组织协调能力及分析判断能力；
5.熟悉国家、地区相关方面的法律法规及政策；
6.具有战略、策略化思维，有能力建立并整合不同的工作团队；
7.具备较强的计划性和实施执行的能力。"
,,
306,人力资源总监,"岗位职责：
1.根据公司发展战略，组织制定短、中、长期人力资源工作规划，制定一整套人力资源管理制度并组织实施；
2.建立和完善人力资源管理体系，制订并组织实施人力资源管理制度（包含招聘、培训、绩效、薪酬及员工发展等；
3.全面负责公司人力资源部门日常工作及部门员工的管理、指导、培训及评估；
4.定期向高层决策者提供有关人力资源战略、组织建设、行政管理等方面的专项建议，为公司重大决策提供人力资源信息支持；
5.加强公司人力资源的预测和统筹工作，根据各项目的经营状况和市场情况，合理调整组织机构、人员结构和工资福利待遇；
6.负责公司核心团队和业务团队核心骨干的打造，在公司内部推动核心人才梯队培养计划；
7.负责部门团队管理，擅长各类中高级人才的甄别和选拔，完善公司人才储备和梯队建设；
8.及时处理公司人事行政管理中的重大问题，负责公司的企业文化建设；
9.规范完善公司行政管理系统，制订并完善公司各项行政制度，提供各项行政后勤支持。
职位要求：
1.人力资源、管理或相关专业背景，本科及以上学历；
2.八年以上相关工作经验；
3.对人力资源管理模式有系统的了解和实践经验积累，有先进的人力资源理念，能够指导各个职能模块的工作；有集团化管理工作经验优先考虑；
4.具备极强的领导及管理能力，善于沟通，具备出色的组织协调能力及分析判断能力；
5.熟悉国家、地区相关方面的法律法规及政策；
6.具有战略、策略化思维，有能力建立并整合不同的工作团队；
7.具备较强的计划性和实施执行的能力。

备注：①非常强的招聘能力  ②在赣州有很好的政府资源"
,,
307,人力资源总监,"责描述：

1、全面统筹规划人力资源开发及战略管理，拟定人力资源规划方案，并监督各项计划的实施；

2、联合做人力资源管理体系改革等举措，打造老百姓大药房强有力的人才供应链体系；

3、建立并完善人力资源管理体系，研究、设计人力资源管理模式（包含招聘、培训、绩效、薪酬及员工发展等体系的全面建设），制定和完善人力资源管理制度；

4、向公司决策层提供人力资源、组织机构等方面的建议并致力于提高公司综合管理水平，控制人力资源成本；

5、及时处理公司管理过程中的重大人力资源问题，指导员工职业生涯规划。





任职要求：

1、人力资源管理或相关专业本科以上学历；

2、七年以上人力资源管理经验，其中不少于3年及以上大型集团公司人力资源部长/总监管理工作经验，连锁零售行业优先；

3、了解现代企业人力资源管理模式和实践经验积累，对人力资源管理各个职能模块均有较深入的认识，熟悉国家相关的政策、法律法规；

4、很强的计划性和实施执行的能力；有亲和力，很强的激励、沟通、协调、团队领导能力，责任心、事业心；

5、具备良好的人际交往能力、组织协调能力、沟通能力以及解决复杂问题的能力。"
,,
308,准上市汽配企业人力资源总监,"要求制造业背景 有参与上市公司经验的优先 稳定性好
工作地点 重庆南川区为主 还有其他工厂偶尔需要过去 有食宿
职位描述
1.根据公司发展战略，组织制定短、中、长期人力资源工作规划，制定一整套人力资源管理制度并组织实施；
2.建立和完善人力资源管理体系，制订并组织实施人力资源管理制度（包含招聘、培训、绩效、薪酬及员工发展等；
3.全面负责公司人力资源部门日常工作及部门员工的管理、指导、培训及评估；
4.定期向高层决策者提供有关人力资源战略、组织建设、行政管理等方面的专项建议，为公司重大决策提供人力资源信息支持；
5.加强公司人力资源的预测和统筹工作，根据各项目的经营状况和市场情况，合理调整组织机构、人员结构和工资福利待遇；
6.负责公司核心团队和业务团队核心骨干的打造，在公司内部推动核心人才梯队培养计划；
7.负责部门团队管理，擅长各类中高级人才的甄别和选拔，完善公司人才储备和梯队建设；
8.及时处理公司人事行政管理中的重大问题，负责公司的企业文化建设； 9.规范完善公司行政管理系统，制订并完善公司各项行政制度，提供各项行政后勤支持。
职位要求：
1.人力资源、管理或相关专业背景，本科及以上学历；
2.八年以上相关工作经验；需要有制造业背景
3.对人力资源管理模式有系统的了解和实践经验积累，有先进的人力资源理念，能够指导各个职能模块的工作；有集团化管理工作经验优先考虑；
4.具备极强的领导及管理能力，善于沟通，具备出色的组织协调能力及分析判断能力；
5.熟悉国家、地区相关方面的法律法规及政策；
6.具有战略、策略化思维，有能力建立并整合不同的工作团队；
7.具备较强的计划性和实施执行的能力。"
,,
309,人力资源总监,"岗位职责：
1、组织制订公司人力资源发展的中、长期规划，并监督各项计划的实施工作。
2、向公司高层决策者提供有关人力资源战略、组织建设等方面的建议，并致力于提高公司的管理水平。
3、根据企业的战略发展，制定企业人力资源管理制度。
4、对人力资源工作中各项数据进行统计和分析，及时处理公司管理中的重大人力资源问题。
5、进行企业人才库建设及人才储备管理，保证企业所需各类人才的及时到位。
6、制定员工培养计划，确保满足企业发展对人才的需要。
7、监督、检查分管下属员工的各项工作及计划的执行情况。"
,,
310,人力资源总监,"工作职责：
1. 深入了解公司战略经营目标，负责支持完善相关业务部门组织、人才、机制建设，为业务部门重点工作落地提供支持；
2. 深刻理解业务痛点，分析公司与相关部门的人才需求，组织实施端到端全过程人才招聘及发展工作；
3. 从业务战略出发，进行现状诊断和问题识别，协同业务部门负责人做好员工管理、团队培训、人效管控、内部激励、文化建设等，将业务战略需求转化为HR解决方案；
4. 参与业务的关键绩效指标设定，有效支持业务部门绩效结果评估。


任职要求：
1. 重点本科及以上学历，人力资源、企业管理等相关专业。
2. 三年及以上人力资源业务伙伴或人才招聘工作经验，标杆企业管培生背景优先。
3. 为人正直，诚实守信，工作严谨，逻辑思维能力强。
4. 具备强烈的工作责任心和团队合作精神。
"
,,
311,集团人力资源总监,"岗位职责：
1.根据公司战略发展，统筹和规划企业人力资源整体运作，制订适合公司的人力资源政策；
2.组织制订人力成本计划，按职能对各部门进行定岗定员，严格控制人力成本；
3.制订人力资源年度工作计划与目标并实施；
4.制定人事管理制度、招聘体系、员工培训体系，优化薪酬福利体系，并针对不同部门员工建立绩效评价体系；
5.组织企业进行工作分析，职务测评与组织架构评估，制订岗位职责说明书，使其符合企业中长期战略规划；
6.保障企业关键岗位人才供给与培养，为中基层管理和技术岗位提供保障；
职位要求：
1.30岁以上，45岁以下人力资源专业或企业管理专业本科或以上学历；
2.7年以上企业人力资源从业经验，3年以上人力资源部经理工作经历；
3.精通现代人力资源管理理论，对人力资源各领域工作内容熟悉，具有企业战略规划及人力规划善于人力成本控制及风险管理；
4.熟悉国家相关的政策，法律法规；
5.具有良好的职业道德，为人正直，有责任心。精力充沛，有较好的人际交往能力，团队组织能力、执行力和沟通能力，能承受较大的工作压力；
6.有一线或者D轮以上互联网科技公司人事管理经验优先。"
,,
312,人力资源总监（事业部）,"负责集团主品牌事业部人力资源管理工作，事业部年营业收入60亿+，汇报对象集团HR总负责人，直接下属团队15人+。
有消费品行业HR管理经验者欢迎来沟通。"
,,
313,人力资源总监,"对业务进行组织诊断，为战略落地提供建议并参与实施；
在招聘，绩效福利，培训和员工关系等方面为业务提供解决方案并实施；为公司组织发展提供人力资源支持；
同公司不同层级进行接触和有效沟通，保障信息有效顺畅传递。"
,,
314,人力资源总监,"1、负责根据集团的发展战略;
2、根据公司业务发展规划;
3、制订绩效管理标准体系;
4、设计适合公司的培训培养体系;
5、招聘、实施人才发展储备计划;
6、提供、培养合适人才;
7、塑造、维护、发展和传播企业文化；
8、督办公司重大工作事项的执行与落实。"
,,
315,（长期储备）中国旅游集团酒店控股有限公司—项目人力资源总监,"此岗位为中旅酒店长期储备岗位，工作地点涉及全国各地。

职责描述：
1、根据酒店经营目标，制定近期和长期的人力资源规划，并组织实施；
2、熟悉各项劳动法规和政策，协调与劳动和社会保障部门的关系，贯彻和不断改进各项人事管理政策；
3、根据经营需要，科学、合理、有效的设置组织机构和岗位。确定人员编制；
4、组织完成人员招聘、调配工作，采取多种形式用工，满足各部门用工和所需的人力资源；
5、贯彻执行按劳分配原则，严格薪酬管理；
6、组织和制定劳动工资管理办法和分配方案；
7、完成上级领导交办的其他工作。

任职要求：
1、本科以上或同等学历；
2、酒店管理、人力资源或相关专业；
3、5年以上五星级饭店或相关工作经验；
4、出色的组织能力。适应能力、灵活性、影响力、沟通协调能力、前瞻性。计划和组织、团队建设、帮助他人进步、激励他人能力。处理矛盾冲突能力解决问题能力和决策能力；有亲和力，能被所有员工接受。极佳的语言及文字沟通能力。善于与业主、政府机关等建立并保持很好的关系；
5、中共党员优先。"
,,
316,人力资源总监,"       1、协助上级建立健全公司招聘、培训、工资、保险、福利、绩效考核等人力资源制度建设;

　　2、建立、维护人事档案，办理和更新劳动合同;

　　3、执行人力资源管理各项实务的操作流程和各类规章制度的实施，配合其他业务部门工作;

　　4、收集相关的劳动用工等人事政策及法规;

　　5、执行招聘工作流程，协调、办理员工招聘、入职、离职、调任、升职等手续;

　　6、协同开展新员工入职培训，业务培训，执行培训计划，联系组织外部培训以及培训效果的跟踪、反馈;

　　7、负责员工工资结算和年度工资总额申报，办理相应的社会保险等;

　　8、帮助建立员工关系，协调员工与管理层的关系，组织员工的活动。"
,,
317,人力资源总监,"岗位职责：
1.根据公司发展战略，组织制定短、中、长期人力资源工作规划，制定一整套人力资源管理制度并组织实施；
2.建立和完善人力资源管理体系，制订并组织实施人力资源管理制度（包含招聘、培训、绩效、薪酬及员工发展等；
3.全面负责公司人力资源部门日常工作及部门员工的管理、指导、培训及评估；
4.定期向高层决策者提供有关人力资源战略、组织建设、行政管理等方面的专项建议，为公司重大决策提供人力资源信息支持；
5.加强公司人力资源的预测和统筹工作，根据各项目的经营状况和市场情况，合理调整组织机构、人员结构和工资福利待遇；
6.负责公司核心团队和业务团队核心骨干的打造，在公司内部推动核心人才梯队培养计划；
7.负责部门团队管理，擅长各类中高级人才的甄别和选拔，完善公司人才储备和梯队建设；
8.及时处理公司人事行政管理中的重大问题，负责公司的企业文化建设；
9.规范完善公司行政管理系统，制订并完善公司各项行政制度，提供各项行政后勤支持。
职位要求：
1.人力资源、管理或相关专业背景，本科及以上学历；
2.八年以上相关工作经验；
3.对人力资源管理模式有系统的了解和实践经验积累，有先进的人力资源理念，能够指导各个职能模块的工作；有集团化管理工作经验优先考虑；
4.具备极强的领导及管理能力，善于沟通，具备出色的组织协调能力及分析判断能力；
5.熟悉国家、地区相关方面的法律法规及政策；
6.具有战略、策略化思维，有能力建立并整合不同的工作团队；
7.具备较强的计划性和实施执行的能力。"
,,
318,人力资源总监（国际）,"任职要求：

熟悉海外人力资源全盘管理

可接受驻外（印尼、新加坡、芬兰）"
,,
319,人力资源总监,"岗位职责：
1、根据公司的发展战略，制定集团人力资源发展策略，完善和优化各项管理流程，保证人力资源策略符合公司整体战略方向；
2、全面负责集团人力资源管理工作，统筹招聘、绩效考核、人才发展、薪酬福利、培训、员工关系等工作开展并督导实施；
3、落实开展的人才盘点、干部管理和招聘工作；
4、负责组织公司文化建设活动，提升员工凝聚力和认同感；
5、负责公司内部各项活动的牵头组织和协调。
任职要求：
1）32-42岁之间，具备十年以上工作经验；
2）本科或以上学历，985/211优先，最好具备人力资源管理相关证书；
3）中建系统管理体系背景，熟悉人力资源全模块，擅长薪酬管理、项目绩效考核、人力资源体系建设等板块管理工作；
4）具备良好的综合素养和沟通协调能力。"
,,
